Duration,ID,Consent,Gender,Age,Residency,Ethnicity,Sexuality,Vic_known,False_acc,Verdict,Likert_verdict,Confidence,Sentence,Credibility,Responsibility,Empathy,SA1,SA2,SA3,SA4,SA5,SA6,MT1,MT2,MT3,F1,MT4,MT5,MT6,NR1,NR2,NR3,NR4,NR5,F2,LI1,LI2,LI3,LI4,LI5,LI6,Condition
873,5b8fdd69182eb80001622a73,1,1,46,22,1,1,1,1,1,6,85,3,7,2,4,5,5,2,5,2,6,4,5,7,7,1,1,1,1,1,1,1,1,7,2,2,1,1,2,1,Vignette(high)
583,5d7030ac857dc1000120d032,1,1,23,23,1,1,2,2,1,6,40,4,6,2,3,2,1,1,2,1,2,5,2,5,6,3,2,2,1,1,1,1,3,7,2,2,2,5,2,1,Vignette(low)
645,5c76ee0998566f00018eeb1f,1,2,47,47,1,1,1,1,1,7,100,4,7,5,5,3,3,3,2,1,6,7,2,2,7,2,2,1,5,2,1,1,5,7,3,1,2,2,2,2,Vignette(low)
834,5ec2f6c49a234813911253f8,1,2,24,24,1,1,1,1,1,6,30,2,5,3,3,5,4,5,6,6,4,3,4,5,6,5,4,4,5,3,3,6,5,4,6,6,3,3,4,5,Vignette(low)
1092,5da1db34eaeef90013b9fedb,1,2,31,31,1,1,1,1,0,6,49,2,6,3,4,1,1,1,1,2,1,7,5,6,7,5,2,1,2,1,1,1,1,7,2,3,2,3,3,2,Vignette(low)
897,59e74eaabbdb420001cdbdb2,1,2,56,56,1,1,1,1,1,6,70,1,7,2,4,1,1,1,5,2,2,3,5,5,7,3,1,1,1,2,1,1,1,7,1,2,1,1,1,1,Vignette(high)
664,5f0bb200f7e4fd4e0b266c01,1,2,21,21,1,1,2,2,1,6,85,5,6,1,5,1,1,1,1,1,1,6,5,5,7,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
581,5ff6fc59dd81f72b67e7104e,1,2,27,8,1,1,2,1,0,6,9,0,6,1,4,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,2,7,1,1,1,1,1,1,Vignette(low)
836,5c616776cb05d60001cc0394,1,2,44,44,1,1,1,1,0,5,50,3,5,4,3,2,1,1,1,5,1,4,5,5,5,5,5,3,3,1,1,1,3,7,4,4,4,3,5,3,Vignette(high)
599,57f73fdb8079d200017d7af6,1,1,47,47,1,1,1,1,1,6,60,3,6,1,4,2,1,1,5,1,2,2,5,5,6,5,1,4,1,1,1,1,1,7,2,3,2,2,3,1,Vignette(low)
639,5dc0963c6ff9eb03b5879587,1,2,42,42,1,1,1,1,0,4,81,1,3,6,1,1,1,1,1,5,4,1,1,1,5,1,1,1,1,1,1,1,5,5,5,5,5,4,4,5,Vignette(high)
679,5fd7ac5e7c28c502585e4d5a,1,2,48,48,1,1,2,1,1,6,83,3,6,2,5,1,1,1,2,1,1,3,2,3,6,3,1,1,2,1,1,1,3,6,3,1,1,1,2,1,Vignette(low)
772,56a80408c89737000b22bd37,1,1,45,45,1,1,1,1,0,1,98,0,5,6,2,6,1,2,6,2,7,7,6,6,4,3,2,5,7,5,2,1,7,7,3,5,3,3,6,7,Vignette(high)
391,5e7119565b050e0255fc4577,1,2,29,29,1,5,2,2,1,7,94,5,7,1,4,1,1,1,1,1,2,1,1,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(low)
